result_dir,evaluator,method,mode,psnr_db,ssim,ms_ssim_3scale,top1_percent,top5_percent,clean_top1_percent
out_fixed_budget_mild_r2plus1d_v3_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,r2plus1d,fixed_budget_uep,random,22.936641829233643,0.6861276022085907,0.8291222304105759,21.54255319148936,47.87234042553192,79.16666666666667
out_fixed_budget_mild_r2plus1d_v3_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,r2plus1d,fixed_budget_uep,all_ones,22.97823620265257,0.6884194815676685,0.8312083244429412,22.78368794326241,48.847517730496456,79.16666666666667
out_fixed_budget_mild_r2plus1d_v3_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,r2plus1d,fixed_budget_uep,bypass,22.978236214488955,0.688419484500344,0.8312083259753301,22.78368794326241,48.847517730496456,79.16666666666667
out_fixed_budget_moderate_r2plus1d_v3_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,r2plus1d,fixed_budget_uep,learned,23.021520087904964,0.6739367167630517,0.8285926044092956,22.25177304964539,47.96099290780142,79.16666666666667
out_fixed_budget_moderate_r2plus1d_v3_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,r2plus1d,fixed_budget_uep,random,22.80003252181601,0.6786654944538225,0.8253429543676106,19.858156028368793,45.212765957446805,79.16666666666667
out_fixed_budget_moderate_r2plus1d_v3_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,r2plus1d,fixed_budget_uep,all_ones,22.880741764467658,0.6833450775197212,0.8295270151174661,21.71985815602837,49.02482269503546,79.16666666666667
out_fixed_budget_moderate_r2plus1d_v3_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,r2plus1d,fixed_budget_uep,bypass,22.880741761085837,0.6833450758552297,0.8295270162799679,21.71985815602837,49.02482269503546,79.16666666666667
out_fixed_budget_uep_aggressive_best_top1_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,learned,22.85131496994208,0.6749287242902086,0.8235240156980271,28.98936170212766,53.812056737588655,68.26241134751773
out_fixed_budget_uep_aggressive_best_top1_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,random,22.5137914960266,0.6758260824948761,0.8153531880560496,24.379432624113477,49.37943262411348,68.26241134751773
out_fixed_budget_uep_aggressive_best_top1_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,all_ones,22.6526176735019,0.6846814237482158,0.8232626061595923,28.01418439716312,52.4822695035461,68.26241134751773
out_fixed_budget_uep_aggressive_best_top1_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,bypass,22.6526176735019,0.6846814242502054,0.8232626063181153,28.01418439716312,52.4822695035461,68.26241134751773
