split,family,mode,evaluator,training_seed,channel,c,snr_db,nominal_cbr,actual_cbr,channel_seed,clips,psnr_db,ssim,ms_ssim_3scale,top1_percent,top5_percent,clean_top1_percent,clean_top5_percent,official_test_used,source_summary
test,reconstruction_only_c4,no_selection,tsn,42,AWGN,4,19.0,1/12,1/12,1042,3783,22.921886519216024,0.6812086151432746,0.8306292213210031,16.41554321966693,38.11789584985461,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_AWGN_c4_snr19_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,tsn,42,Rayleigh,4,1.0,1/12,1/12,1042,3783,20.082471652412867,0.6034149657693642,0.753524237442609,6.026962727993656,17.710811525244516,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_Rayleigh_c4_snr1_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,tsn,42,Rayleigh,4,4.0,1/12,1/12,1042,3783,21.596908344215354,0.6184738023497584,0.7679695182696809,8.617499339148823,24.398625429553263,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_Rayleigh_c4_snr4_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,tsn,42,Rayleigh,4,7.0,1/12,1/12,1042,3783,20.4051791704618,0.6279481896215288,0.7745901038099653,7.375099127676448,22.786148559344436,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_Rayleigh_c4_snr7_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,tsn,42,Rayleigh,4,13.0,1/12,1/12,1042,3783,20.62345669126498,0.6514870344001151,0.7904566651987645,8.326724821570183,25.799629923341264,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_Rayleigh_c4_snr13_channel_seed1042/summary.json
test,reconstruction_only_c4,no_selection,tsn,42,Rayleigh,4,19.0,1/12,1/12,1042,3783,20.734910726988407,0.662316370122243,0.7997049280269228,9.146180280200898,28.125826063970393,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/native_c4_no_selection_test_Rayleigh_c4_snr19_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,r2plus1d,42,AWGN,8,1.0,1/6,1/6,1042,3783,22.876328470591606,0.6593333612728648,0.8080385716195274,11.47237642083003,28.231562252180808,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_AWGN_c8_snr1_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,r2plus1d,42,AWGN,8,4.0,1/6,1/6,1042,3783,22.738446610017395,0.6650103891522929,0.8171421368538687,12.133227597145122,28.707375099127677,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_AWGN_c8_snr4_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,r2plus1d,42,AWGN,8,7.0,1/6,1/6,1042,3783,22.832794558015603,0.6678426908873201,0.8208819853701731,13.534232090933122,30.76923076923077,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_AWGN_c8_snr7_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,r2plus1d,42,AWGN,8,13.0,1/6,1/6,1042,3783,23.007608399074794,0.6846459528897573,0.8310608298665721,16.28337298440391,35.157282579962995,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_AWGN_c8_snr13_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,r2plus1d,42,AWGN,8,19.0,1/6,1/6,1042,3783,23.093994842960882,0.6877762593039438,0.8355359057412083,18.71530531324346,38.646576790906686,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_AWGN_c8_snr19_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,r2plus1d,42,Rayleigh,8,1.0,1/6,1/6,1042,3783,20.342829329167728,0.6212526392304895,0.7691256083368846,5.974094633888448,17.18213058419244,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_Rayleigh_c8_snr1_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,r2plus1d,42,Rayleigh,8,4.0,1/6,1/6,1042,3783,20.466024850053255,0.6333086005427552,0.7784819162745908,6.212001057361882,17.89584985461274,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_Rayleigh_c8_snr4_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,r2plus1d,42,Rayleigh,8,7.0,1/6,1/6,1042,3783,20.614438295427405,0.648446923347809,0.7900148799360791,7.031456515992598,20.195611948189267,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_Rayleigh_c8_snr7_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,r2plus1d,42,Rayleigh,8,13.0,1/6,1/6,1042,3783,20.703115859549733,0.6630086597235405,0.799212651674375,8.16812053925456,22.12529738302934,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_Rayleigh_c8_snr13_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,r2plus1d,42,Rayleigh,8,19.0,1/6,1/6,1042,3783,20.768354284048016,0.6625575100638202,0.8020373350755267,8.088818398096748,21.940259053661116,81.12609040444092,95.37404176579435,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_Rayleigh_c8_snr19_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,tsn,42,AWGN,8,1.0,1/6,1/6,1042,3783,22.876328470591606,0.6593333612728648,0.8080385716195274,15.384615384615385,37.58921490880254,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_AWGN_c8_snr1_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,tsn,42,AWGN,8,4.0,1/6,1/6,1042,3783,22.738446610017395,0.6650103891522929,0.8171421368538687,13.957176843774782,35.1837166270156,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_AWGN_c8_snr4_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,tsn,42,AWGN,8,7.0,1/6,1/6,1042,3783,22.832794558015603,0.6678426908873201,0.8208819853701731,14.459423737774253,36.05604017975152,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_AWGN_c8_snr7_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,tsn,42,AWGN,8,13.0,1/6,1/6,1042,3783,23.007608399074794,0.6846459528897573,0.8310608298665721,16.97065820777161,38.858049167327515,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_AWGN_c8_snr13_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,tsn,42,AWGN,8,19.0,1/6,1/6,1042,3783,23.093994842960882,0.6877762593039438,0.8355359057412083,18.636003172085648,40.94633888448321,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_AWGN_c8_snr19_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,tsn,42,Rayleigh,8,1.0,1/6,1/6,1042,3783,20.342829329167728,0.6212526392304895,0.7691256083368846,6.661379857256146,20.22204599524187,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_Rayleigh_c8_snr1_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,tsn,42,Rayleigh,8,4.0,1/6,1/6,1042,3783,20.466024850053255,0.6333086005427552,0.7784819162745908,6.925720327782184,22.389637853555378,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_Rayleigh_c8_snr4_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,tsn,42,Rayleigh,8,7.0,1/6,1/6,1042,3783,20.614438295427405,0.648446923347809,0.7900148799360791,8.776103621464447,25.958234205656886,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_Rayleigh_c8_snr7_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,tsn,42,Rayleigh,8,13.0,1/6,1/6,1042,3783,20.703115859549733,0.6630086597235405,0.799212651674375,10.573618821041501,28.39016653449643,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_Rayleigh_c8_snr13_channel_seed1042/summary.json
test,reconstruction_only_c8,no_selection,tsn,42,Rayleigh,8,19.0,1/6,1/6,1042,3783,20.768354284048016,0.6625575100638202,0.8020373350755267,10.335712397568068,29.07745175786413,69.54797779540047,89.87575997885276,True,out_official_test_sweep_locked/baselines/clean_no_selection_test_Rayleigh_c8_snr19_channel_seed1042/summary.json
validation,exact_topk,learned_topk,r2plus1d,42,AWGN,8,13.0,1/6,1/12,1042,1128,21.699596915684694,0.6237876108774902,0.7662707387555575,14.184397163120567,37.145390070921984,79.16666666666667,95.12411347517731,False,out_topk50_trained_selector_r2plus1d_matched_validation/TATopKMatched_validation_AWGN_c8_snr13_seed1042/summary.json
validation,exact_topk,random_topk,r2plus1d,42,AWGN,8,13.0,1/6,1/12,1042,1128,21.853878596995738,0.6176126546470831,0.7765986971187253,10.195035460992909,23.581560283687942,79.16666666666667,95.12411347517731,False,out_topk50_trained_selector_r2plus1d_matched_validation/TATopKMatched_validation_AWGN_c8_snr13_seed1042/summary.json
validation,exact_topk,uniform_topk,r2plus1d,42,AWGN,8,13.0,1/6,1/12,1042,1128,21.588727671203884,0.6180203987668592,0.7718819059590076,12.677304964539006,31.29432624113475,79.16666666666667,95.12411347517731,False,out_topk50_trained_selector_r2plus1d_matched_validation/TATopKMatched_validation_AWGN_c8_snr13_seed1042/summary.json
